source,destination,risk,s_name,d_name,s_latt,s_long,d_latt,d_long,s_country,d_country
5419,3923,2.2062191499554867e-07,Yizheng,Zhanjiang,32.2,119.2,21.1811,110.4033,CHN,CHN
5419,4303,2.0379135312103636e-07,Yizheng,Incheon,32.2,119.2,37.465,126.6267,CHN,KOR
5419,8308,1.9792278234561016e-07,Yizheng,Penglai,32.2,119.2,37.8167,120.7167,CHN,CHN
5419,3983,1.968071774034556e-07,Yizheng,Dalian,32.2,119.2,38.9248,121.6514,CHN,CHN
5419,2994,1.5031050944775876e-07,Yizheng,Tokuyama,32.2,119.2,34,131.8,CHN,JPN
5419,722,8.982946392988087e-08,Yizheng,Pyeongtaek,32.2,119.2,36.9969,126.7914,CHN,KOR
5419,8142,8.670847899886291e-08,Yizheng,Huludao,32.2,119.2,40.7167,120.9833,CHN,CHN
5419,1927,5.805821875564748e-08,Yizheng,Moji,32.2,119.2,33.95,130.9667,CHN,JPN
5419,6196,4.236569928224778e-08,Yizheng,Daesan,32.2,119.2,37.0119,126.4106,CHN,KOR
5419,3867,3.807949200803611e-08,Yizheng,Haiphong,32.2,119.2,20.8667,106.6667,CHN,VNM
5419,8839,1.501789092622195e-08,Yizheng,Sendai-Shiogama,32.2,119.2,38.2866,141.0267,CHN,JPN
5419,4343,1.4407878372892509e-08,Yizheng,Beihai,32.2,119.2,21.4809,109.1198,CHN,CHN
5419,3647,2.889498603947131e-09,Yizheng,Taichung,32.2,119.2,24.28,120.5275,CHN,TWN
5419,3164,2.757924149479764e-09,Yizheng,Hong Kong,32.2,119.2,22.2861,114.1575,CHN,CHN
5419,7892,9.110880723966836e-10,Yizheng,Huizhou,32.2,119.2,22.7,114.5667,CHN,CHN
5419,5904,6.3215779621241e-10,Yizheng,An Ping,32.2,119.2,23.0103,120.1547,CHN,TWN
5419,1504,4.5328059556502125e-10,Yizheng,Kaohsiung,32.2,119.2,22.5927,120.3053,CHN,TWN
5419,4088,1.461589118594171e-10,Yizheng,Townsville,32.2,119.2,-19.2558,146.8286,CHN,AUS
5419,7703,1.3111856043009083e-10,Yizheng,Shuidong,32.2,119.2,21.4833,111.0667,CHN,CHN
5419,818,4.399275847519098e-11,Yizheng,Vostochnyy,32.2,119.2,42.7503,133.0767,CHN,RUS
5419,7895,3.4227116932572945e-11,Yizheng,Mai-Liao,32.2,119.2,23.7852,120.1803,CHN,TWN
5419,3262,3.342508034929958e-11,Yizheng,Muroran,32.2,119.2,42.35,140.95,CHN,JPN
5419,3444,2.9024661914340623e-11,Yizheng,Nakhodka,32.2,119.2,42.7986,132.877,CHN,RUS
5419,1165,1.2261703108523827e-11,Yizheng,Singapore,32.2,119.2,1.2689,103.8331,CHN,SGP
5419,1903,5.413239827173542e-12,Yizheng,Pasir Gudang,32.2,119.2,1.4366,103.8975,CHN,MYS
5419,3943,5.373720812356547e-12,Yizheng,Corinto,32.2,119.2,12.4753,-87.1377,CHN,NIC
5419,5152,3.2019817949995695e-12,Yizheng,Davao,32.2,119.2,7.1692,125.6455,CHN,PHL
5419,2445,1.814368651192771e-12,Yizheng,Jakarta,32.2,119.2,-6.1086,106.8889,CHN,IDN
5419,3003,1.761216933277785e-12,Yizheng,Ko Sichang,32.2,119.2,13.15,100.8,CHN,THA
5419,8850,1.3397016224912666e-12,Yizheng,Tanjung Langsat,32.2,119.2,1.4667,104.0167,CHN,MYS
5419,52,9.615985110503444e-13,Yizheng,Lahad Datu,32.2,119.2,5.0239,118.3494,CHN,MYS
